NaN,-13.9,NaN,-11.4,NaN,-9.1,-8.2,-7.1,-5,NaN,-2.7,-1,0.199999999999999,2.4,3.9,5.2,7.2,NaN,9.7,NaN,12.1,13.3,14.2,NaN,NaN,NaN
NaN,-13.7,-12.5,-11.6,-10.3,-8.9,-8.2,-7.1,-5.1,NaN,-2.5,-1,0.199999999999999,2.1,4,4.9,7.1,8.4,NaN,NaN,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.9,NaN,-11.6,-9.9,-9,-8.2,-7.1,-5.1,-3.2,-2.3,-1,0.0999999999999979,2.5,4,5.2,7.2,8.5,9.7,NaN,12,NaN,14.4,NaN,NaN,NaN
NaN,-13.9,-12.7,-11.7,-10.3,-9.1,NaN,-7.1,-5.1,NaN,-2.4,-0.899999999999999,NaN,2,3.9,5.2,6.9,8,NaN,NaN,12.1,13.4,14.3,NaN,NaN,NaN
NaN,-14,NaN,-11.7,-10.3,-9.1,NaN,-7,-5,NaN,-2.6,NaN,0.199999999999999,2.2,4,5.1,7.1,8.3,9.7,10.6,12.2,NaN,14.4,NaN,NaN,19.2
NaN,-14.3,-12.5,-11.5,-10.2,-9,-8.4,-7.1,-5.1,NaN,-2.7,-1,0.199999999999999,2.2,3.9,5.1,7.2,8.4,9.6,NaN,12.1,NaN,14.2,NaN,NaN,NaN
NaN,-14,NaN,-11.2,-10.2,NaN,-8.2,-7.1,-5.1,-3.3,-2.5,NaN,NaN,1.9,3.9,5.2,7.1,NaN,NaN,NaN,12.1,NaN,NaN,NaN,NaN,NaN
-16.6,-14,NaN,-11.5,-10.1,-9,-8,-7,-5,NaN,-2.6,-1.1,0.0999999999999979,2.3,4,4.8,7,7.9,NaN,10.6,12.1,13.5,14.6,NaN,NaN,NaN
NaN,-14.2,-12.5,-11.7,-10.2,-9,-8,-7,-5.1,NaN,-2.4,-0.899999999999999,0.199999999999999,1.9,3.8,5.2,7.2,8.3,9.8,10.6,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.9,NaN,-11.4,-10.4,-9.2,NaN,-7,-5,-3.1,-2.5,-1.1,0.199999999999999,1.9,3.8,5.2,7.1,8.5,9.5,10.6,12,13.1,14.3,NaN,NaN,NaN
NaN,-13.8,NaN,-11.8,NaN,-9.1,NaN,-7.1,-5.2,-3.4,-2.6,-1,0.0999999999999979,2.3,4.1,5.2,6.9,8.6,9.8,NaN,12.1,13.3,14.8,NaN,NaN,NaN
NaN,-14.3,-12.5,-11.5,-10.2,-8.8,NaN,-7,-5.1,-3.9,-2.8,-1,NaN,2,3.8,5.1,7.2,8.6,9.9,10.5,12.2,13.2,NaN,NaN,17.8,NaN
NaN,-14.1,NaN,-11.5,-10.2,-9,-7.9,-7,-4.8,-3.9,-2.7,-1,NaN,2.2,3.8,5.1,6.9,8.4,NaN,10.9,12.1,13.2,NaN,NaN,NaN,NaN
NaN,-13.9,NaN,-11.6,-10.3,-9,NaN,-7.1,-5.1,-3.6,-2.4,NaN,0.199999999999999,2.3,3.8,5,7.2,8.6,NaN,10.3,12.1,13.4,14.5,NaN,NaN,NaN
NaN,-13.7,NaN,-11.6,-10.1,-8.9,NaN,-7.1,-5.1,NaN,-2.2,-1,0.0999999999999979,NaN,3.9,5.1,7.2,8.5,9.9,NaN,12.1,13.3,14.3,NaN,NaN,NaN
NaN,-14,-12.6,-11.7,-10.1,-9,-7.9,-7,-5,-3.9,-2.6,NaN,0.0999999999999979,1.9,4,5.1,7,8.3,NaN,10.6,12.1,NaN,14.2,NaN,NaN,NaN
NaN,-13.8,-12.7,-11.3,-10.5,-9,-8.1,-7,-5.1,NaN,-2.7,NaN,0.199999999999999,1.8,4,5,7,8.3,NaN,10.4,12.1,13.3,14.3,NaN,NaN,NaN
NaN,-13.9,-12.7,-11.8,-10.3,-9,-8,-7,-5.1,-3.8,-2.3,-1.1,NaN,2.1,3.9,5.2,7.1,8.7,9.6,NaN,12,13.4,NaN,NaN,NaN,NaN
-16,-14.2,NaN,-11.9,-10.3,-9,NaN,-7.1,-4.9,NaN,-2.7,NaN,NaN,2,3.8,5.2,7.1,8.2,9.7,10.5,12.1,NaN,14.2,NaN,NaN,NaN
NaN,-13.9,NaN,-11.6,-10.3,-8.8,NaN,-7,-4.9,NaN,-2.4,-1.2,0.199999999999999,2.2,3.9,5.2,7.1,8.4,9.8,NaN,12.1,13,14.3,NaN,NaN,NaN
NaN,-14.3,NaN,-11.5,-10.2,-9.1,NaN,-7.1,-4.9,-3.8,-2.5,-1.1,NaN,1.9,3.8,5.2,7.1,NaN,9.7,NaN,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-14,-12.7,-11.6,-10.1,-9.1,NaN,-7.1,-5.1,NaN,-2.6,NaN,0.199999999999999,2.5,3.9,5.1,7,8.1,NaN,10.7,12.1,13.3,14.4,NaN,NaN,NaN
NaN,-13.7,NaN,-11.2,NaN,NaN,-8.2,-7.1,-5,NaN,-2.6,-1.1,NaN,1.8,4,4.9,7.1,7.9,9.9,NaN,12.1,13.1,NaN,NaN,NaN,NaN
NaN,-13.7,-12.7,-11.3,-10.1,-9.1,NaN,-7.1,-4.8,-3.3,-2.2,NaN,NaN,2.5,3.9,5.2,7,8.5,NaN,NaN,12.1,NaN,14.3,NaN,NaN,NaN
NaN,NaN,NaN,-11.3,-10.3,-9,-8.1,-7.1,-5,NaN,-2.8,NaN,0.199999999999999,1.9,3.9,5.1,7,NaN,9.8,NaN,12.2,13.3,14.3,NaN,NaN,NaN
NaN,NaN,NaN,-11.7,-10.2,-9.2,-7.9,-7.1,-4.9,-3.8,-2.4,NaN,0.0999999999999979,2,3.7,5.1,7.1,8.6,9.9,10.6,12.1,13.3,14.5,NaN,NaN,NaN
NaN,-14.1,NaN,-11.6,NaN,-8.7,NaN,-7.1,-4.9,NaN,-2.9,-1.1,0.0999999999999979,2.4,4,5.1,7.1,8.1,9.7,NaN,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.8,NaN,-11.4,-10.2,-8.9,-8.2,-7,-5.2,-3.9,-2.5,NaN,NaN,2.1,3.9,4.9,7.2,8.5,9.8,10.8,12,13.4,NaN,NaN,NaN,NaN
NaN,-13.8,NaN,NaN,-10.3,-9,-7.9,-7.1,-5,-3.1,-2.5,-1,0.0999999999999979,1.9,3.9,5.1,6.9,8.5,NaN,10.3,12.1,13.2,NaN,NaN,NaN,NaN
NaN,-14,NaN,-11.1,-10,-8.7,-8.2,-7.1,-4.9,NaN,-2.6,-1.1,0.199999999999999,2.2,3.9,5.2,7.1,8.5,9.6,10.5,12.1,NaN,14.7,NaN,NaN,NaN
NaN,-13.9,-12.7,-11.4,-9.9,-8.9,-8.1,-7.1,-5,-3.6,-2.3,NaN,0.0999999999999979,1.9,3.7,4.8,7.1,8.2,NaN,NaN,12,13.2,14.3,NaN,NaN,NaN
NaN,-14.1,-12.7,-11.4,-10.2,-8.8,NaN,-7.1,-5.2,-3.4,-2.5,-1,0.0999999999999979,2.3,3.9,5.2,7,8.6,NaN,NaN,12,13.2,14.3,NaN,NaN,NaN
NaN,NaN,-12.7,-11.4,-10.1,-8.9,-8,-7,-5,NaN,-2.7,-1.1,0.199999999999999,2.1,3.9,5.1,7.1,8.6,9.6,NaN,12.1,13.3,14.2,NaN,NaN,NaN
NaN,-13.5,NaN,-11.5,-10.2,-9,NaN,-7.1,-5,-3.9,-2.6,-1.1,0.0999999999999979,2.1,3.9,5,7.1,NaN,9.6,10.7,12.1,12.9,14.3,NaN,NaN,NaN
NaN,-13.9,-12.6,-11.4,-10.3,-9,-8,-7.1,-5,-3.5,-2.5,NaN,NaN,2.1,3.9,5.2,7.2,8.1,10,NaN,12.1,13.1,14.3,NaN,NaN,NaN
NaN,-13.8,NaN,-11.3,-10.3,-9,NaN,-7.1,-5,NaN,-2.8,NaN,0.199999999999999,1.9,3.9,4.9,7.2,8.5,9.5,10.4,12.1,NaN,14.8,NaN,NaN,NaN
NaN,-13.6,NaN,-11.6,-10.2,-9,NaN,-7,-5.1,NaN,-2.4,NaN,0.0999999999999979,2,3.8,5,6.9,8.2,9.7,NaN,12.1,NaN,14.5,NaN,NaN,NaN
NaN,-13.6,-12.2,-11.4,-10.2,-8.9,-8,-7,-5,NaN,-2.7,-1,NaN,2,3.9,5.1,7.2,8.4,NaN,10.3,12.1,13.3,14.3,NaN,NaN,NaN
NaN,-13.7,-12.6,NaN,-10.3,-9.2,NaN,-7.1,-5.1,-3.4,-2.5,NaN,0.199999999999999,2.4,3.7,5.2,7.1,8.2,9.5,10.4,12.2,NaN,14.4,NaN,NaN,NaN
-16.6,-13.8,-12.5,-11.1,NaN,-9.2,-8.1,-7,-5.1,-3.4,-2.5,-0.899999999999999,NaN,2,3.8,5.2,7,8.2,9.6,NaN,12.1,13,14.3,NaN,NaN,NaN
-16.2,-14,-12.8,-11.3,-10,-9,NaN,-7.1,-5,NaN,-2.8,-1.1,0.0999999999999979,NaN,3.9,5.2,7,8.5,NaN,10.7,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-14.2,-12.7,-11.5,-10.1,-9,NaN,-7,-5,-3.5,-2.7,NaN,NaN,2,3.8,5.1,7.1,8.2,9.9,NaN,12,NaN,14.4,NaN,NaN,NaN
NaN,-13.9,NaN,-11.4,-10.2,-9,NaN,-7,-5.1,-3.5,-2.5,-1,0.0999999999999979,2.2,3.8,5.1,7.1,8.1,9.8,NaN,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-13.7,-12.6,-11.4,-10.3,-9,-8,-7,-5,-3.4,-2.5,NaN,0.0999999999999979,2.1,3.9,5.1,7.1,8.1,NaN,10.5,12.1,NaN,14.5,NaN,NaN,NaN
NaN,-13.7,NaN,-11.4,-10.2,-8.8,NaN,-7.1,-5.3,-3.5,-2.5,-1,NaN,2.3,4,5.2,7.1,8.3,9.9,10.5,12.2,13.2,14.4,NaN,NaN,NaN
NaN,-13.6,NaN,-11.3,-10.2,NaN,-8.1,-7,-4.9,-3.5,-2.5,NaN,NaN,2.2,3.9,5.3,7.1,8.5,NaN,10.4,12.1,13,14.2,NaN,NaN,NaN
NaN,-13.7,NaN,-11.4,-10.2,-8.9,-8.1,-7,-5.1,NaN,-2.6,-1.2,0.0999999999999979,2,4.2,5,7.1,8.2,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN
NaN,-14,-12.6,-11.4,-10.2,-9,NaN,-7.1,-5,-3.8,-2.4,-1.2,NaN,2.1,4,5.1,7.1,8.4,9.8,NaN,12.2,13.3,14.7,NaN,NaN,NaN
NaN,-14.1,NaN,-11.4,-10.2,-9,-7.9,-7.1,-5,NaN,-2.1,-1.1,NaN,2.1,3.9,5.2,6.9,8.5,9.8,NaN,12,NaN,14.5,NaN,NaN,NaN
NaN,-14.3,NaN,-11.5,-10.3,-9.4,-8.1,-7.1,-5,-3.7,-2.7,-1,NaN,1.7,3.9,5.3,7.2,NaN,9.6,NaN,12.1,13.5,NaN,NaN,NaN,NaN
NaN,-13.8,NaN,-11.6,-10.3,-9.1,-8,-7,-5.1,-3.8,-2.3,NaN,NaN,NaN,4.3,5.1,7.1,8.5,NaN,10.5,12.1,13.1,14.3,NaN,NaN,NaN
NaN,-14.3,NaN,-11.3,-10.3,-8.9,-8.2,-7,-5,NaN,NaN,-1.2,0.0999999999999979,2.3,3.9,5.2,7.2,8.3,9.5,NaN,12.1,13.2,14.2,NaN,NaN,NaN
NaN,-14,-12.6,-11.6,-10.1,-8.6,-8.1,-7,-5,-3.6,-2.1,NaN,NaN,2,4,5.1,7.1,NaN,9.7,10.4,12.1,13.2,14.3,NaN,NaN,NaN
NaN,-14.2,-12.7,-11.3,-10.3,-8.9,-8.2,-7.1,-5,NaN,-2.5,NaN,NaN,2.4,3.8,5.1,6.9,8.5,9.6,10.4,12.1,13.2,14.4,NaN,NaN,NaN
NaN,-13.8,NaN,-11.8,-10.2,-8.9,-8.2,-7.1,-5.1,-3.3,-2.6,-1.2,0.0999999999999979,2.4,3.9,5,7,8.3,9.3,10.9,12.1,13.2,14.6,NaN,NaN,NaN
-16.4,-14,-12.7,-11.4,-10.1,-9,NaN,-7.1,-5,NaN,-2.7,-1,0.199999999999999,1.9,3.8,4.8,7,8.2,9.4,10.4,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-14,-12.5,-11.2,-10.2,-9,NaN,-7.1,-5,NaN,NaN,NaN,NaN,NaN,3.9,5.2,7.1,8.4,NaN,10.8,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-14.1,NaN,-11.3,NaN,-9,NaN,-7,-5,NaN,-2.3,NaN,NaN,2.4,3.8,5.2,7.2,NaN,NaN,10.5,12.1,NaN,14.3,NaN,NaN,NaN
NaN,NaN,NaN,-11.4,-10.3,NaN,-8.1,-7.1,-4.9,-3.3,-2.4,-1,0.199999999999999,NaN,3.9,5,7.1,8.4,9.7,NaN,12.1,NaN,14.7,NaN,NaN,NaN
NaN,-14.1,-12.6,-11.6,-10.3,-9.2,-8.1,-7,-5,NaN,-2.2,-1.1,0.0999999999999979,2.3,4.1,5.1,7.1,8.2,9.7,10.6,12.1,NaN,14.1,NaN,NaN,NaN
-16.6,-13.8,NaN,-11.5,-10.4,-9,-8.1,-7,-5.1,-3.4,-2.4,-1.1,0.0999999999999979,2.4,3.9,5.2,7.1,8.7,NaN,NaN,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-14.1,-12.7,-11.2,-10.3,-9,-8,-7,-5.1,-3.2,-2.6,NaN,0.0999999999999979,2,4.2,5.1,7.1,8.4,NaN,10.6,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.7,-12.5,-11.8,-10,-9,-8.2,-7.1,-5.1,-3.6,-2.5,-0.899999999999999,0,2,4.1,NaN,7.1,8.4,NaN,NaN,12.1,13.1,14.7,NaN,NaN,NaN
NaN,-13.8,NaN,-11.2,-10.4,-9,NaN,-7,-5.1,NaN,-2.9,-1.1,0.0999999999999979,2.4,3.9,4.9,7.1,8.1,NaN,10.4,12.1,NaN,14.7,NaN,NaN,NaN
-16.4,-13.9,-12.7,-11.9,-10.3,-8.9,-8,-7.1,-5,-3.7,-2.5,-1,NaN,2.1,3.8,5.1,7,NaN,9.6,10.5,12,13.5,14.4,NaN,NaN,NaN
NaN,-13.8,NaN,-11.9,-10.3,-8.9,-8.1,-7.1,-5.1,-3.4,-2.4,NaN,0.0999999999999979,2,4,5.1,7.2,8.4,9.9,NaN,12.2,13.5,14.3,NaN,NaN,NaN
NaN,-13.8,-12.6,-11.6,-10.5,-8.9,-8,-7.1,-5,-3.5,-2.4,-1.1,0.199999999999999,2,3.8,5,7.2,8,9.6,10.6,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-13.7,NaN,-11.5,-10.2,-9,NaN,-7.1,-4.9,NaN,-2.1,NaN,NaN,2.1,4,5.2,7.1,8.5,9.6,NaN,12.1,NaN,14.6,NaN,NaN,NaN
NaN,-13.8,-12.6,NaN,-10.4,-9.2,-7.9,-7.1,-5,-3.7,-2.6,-1.2,NaN,2,3.9,5.2,7.1,8.4,NaN,10.5,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.8,-12.6,-11.4,-10.3,-8.9,NaN,-7.1,-4.8,NaN,-2.5,NaN,NaN,2.5,4,5.1,7.1,NaN,9.7,10.6,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-14,-12.6,-11.4,-10.2,-9,-8.2,-7,-5.1,NaN,-2.2,NaN,0.199999999999999,2.1,3.9,5.1,7.1,8.4,9.9,NaN,12.1,13.3,14.5,NaN,NaN,NaN
-16.2,-14,-12.7,NaN,-10.2,-9,-7.9,-7.1,-5.1,NaN,-2.6,NaN,NaN,2.1,3.8,5.2,7,8.7,NaN,10.5,12.1,13.3,14.3,NaN,NaN,NaN
NaN,-13.8,NaN,-11.4,NaN,-9.3,NaN,-7,-5.1,NaN,-2.6,-1,0.299999999999997,2.2,3.8,NaN,7,8.3,9.6,10.7,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.8,NaN,-11.9,-10.4,NaN,-8,-7.1,-5.2,-3.4,NaN,NaN,NaN,2.2,4,5.2,7.1,8.4,NaN,10.7,12,13.6,14.2,NaN,NaN,NaN
NaN,-14,-12.4,-11.4,-10.2,NaN,-8.1,-7,-5,-3.6,-2.5,-0.799999999999997,NaN,2.2,3.9,5.1,7.2,8.4,NaN,NaN,12.1,13.3,NaN,NaN,NaN,NaN
-16.4,-13.6,-12.6,-11.8,-10.3,-9,-8.2,-7.1,-5.1,-3.3,-2.1,-1,0.199999999999999,2.3,3.9,5.1,7.1,8.3,9.7,10.5,12.2,13.4,NaN,NaN,NaN,NaN
NaN,-13.7,-12.6,-11.5,-10.3,NaN,-8.3,-7,-5.2,-3.3,-2.1,-1.1,0.0999999999999979,2.3,4.2,5.1,7.1,8,9.8,NaN,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-14,NaN,-11.2,-10.1,-8.7,-7.9,-7.1,-5.1,-3.5,-2.5,-1.1,NaN,1.9,3.9,5.2,7.2,8.1,9.7,NaN,12.1,13,14.4,NaN,NaN,NaN
NaN,-13.8,-12.7,-11.4,-10.2,NaN,-8.3,-7.1,-5.1,NaN,-2.7,NaN,0.0999999999999979,2.2,4,5,7.1,7.9,NaN,10.6,12.1,13.4,14.8,NaN,NaN,NaN
NaN,-13.8,NaN,-11.8,-10.4,NaN,-8.3,-7.1,-5,NaN,-2.6,-1,0.0999999999999979,2.3,3.9,5.2,7.1,8.2,9.6,10.6,12,NaN,14.2,NaN,NaN,NaN
NaN,-13.8,NaN,-11.5,NaN,-9.1,NaN,-7,-5.1,-3.5,-2.7,NaN,NaN,2.3,4.1,5.1,7.1,8.5,NaN,10.5,12.2,NaN,NaN,NaN,NaN,NaN
NaN,-14,-12.7,-11.4,-10.2,-8.9,-8.1,-7,-5,-3.9,-2.6,-1.1,NaN,2.1,3.9,5.1,7,8.4,9.8,NaN,12.1,13.1,14.4,NaN,NaN,NaN
NaN,-13.8,NaN,-11.9,-10.3,-9,-7.9,-7,-5,NaN,-2.8,NaN,NaN,2.5,4,5.1,7.1,NaN,9.4,10.9,12.1,13.4,14.8,NaN,NaN,NaN
NaN,-13.9,-12.5,-11.3,-10.1,-9,NaN,-7.1,-5.1,NaN,-2.4,-1.1,0.199999999999999,2,3.8,5.2,7.1,8.4,9.7,10.3,12.1,13.2,14.1,NaN,NaN,NaN
-16,-13.7,-12.7,-11.4,-10.4,-9,-8.2,-7,-4.9,-3.2,-2.5,NaN,0.199999999999999,2.1,3.9,5.1,7.1,8.1,9.8,10.5,12.1,NaN,14.1,NaN,NaN,NaN
NaN,-13.9,NaN,-11.9,-10.3,NaN,NaN,-7.1,-4.9,NaN,-2.5,NaN,0.199999999999999,2,3.9,5,6.9,8.2,9.7,10.5,12.2,13.4,14.7,NaN,NaN,NaN
NaN,-14.1,-12.6,-11.4,-10.1,-8.9,NaN,-7.1,-5.1,-3.3,-2.4,NaN,NaN,2,3.9,5.1,7,8.5,9.7,10.5,12.1,13.3,NaN,NaN,NaN,NaN
NaN,-13.9,NaN,-11.9,-10.3,-9.1,-8.1,-7.1,-5.1,NaN,-2.2,NaN,0.0999999999999979,2.1,3.9,5.1,7,8.4,9.6,NaN,12.1,NaN,14.2,17.2,NaN,NaN
NaN,-13.8,NaN,-11.3,NaN,-8.9,-7.9,-7.1,-5.1,NaN,-2.7,NaN,0.199999999999999,2.3,4.3,5.2,7.2,8.2,9.6,10.7,12.1,NaN,14.2,NaN,NaN,NaN
NaN,-14,NaN,NaN,-10.3,-9,NaN,-7.1,-5,-3.3,-2.5,-1.1,0.199999999999999,2.2,4,5.2,7.1,NaN,9.6,10.5,12.1,13.3,NaN,NaN,NaN,NaN
NaN,-13.9,-12.6,-11.3,-10.2,-9.1,NaN,-7.1,-4.9,-3.4,-2.5,NaN,0.199999999999999,1.8,3.8,5.2,7.1,8.1,NaN,NaN,12,13.4,14.3,NaN,NaN,NaN
NaN,-13.7,NaN,NaN,-10.2,-8.6,NaN,-7.1,-5,NaN,-2.9,-1.1,NaN,2,3.9,5.1,7,8.1,NaN,NaN,12.1,13.3,14.2,NaN,NaN,NaN
-15.9,-14.3,-12.6,-11.2,-10.3,-9.2,NaN,-7.1,-5.1,NaN,-2.2,-1.1,NaN,2.3,4,5.1,7,8.4,9.7,10.4,12.2,NaN,14.3,NaN,NaN,NaN
NaN,-13.6,NaN,-11.5,NaN,-9,-8,-7,-4.9,NaN,-2.5,-0.899999999999999,0.0999999999999979,2.1,3.9,5.1,7.2,8.1,NaN,10.9,12.2,13.3,NaN,NaN,NaN,NaN
-16.3,-14.1,-12.6,-11.9,-10.2,-9,NaN,-7.1,-5.1,-3.4,-2.5,NaN,0.0999999999999979,2.2,3.9,4.9,7,8.5,NaN,NaN,12,13.3,14.2,NaN,NaN,NaN
NaN,-13.9,NaN,-11.6,-10.1,-9,-7.9,-7,-5.1,-3.4,NaN,-1.1,NaN,2.1,3.9,4.9,7,8.1,NaN,NaN,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.6,-12.7,-11.4,-10.3,-8.9,NaN,-7.1,-5,NaN,-2.6,NaN,0.0999999999999979,2,4,5,7.2,NaN,NaN,10.3,12.1,NaN,14.3,NaN,NaN,NaN
NaN,-13.6,-12.6,-11.7,-10.4,-9,-8,-7.1,-5.1,NaN,-2.6,-1.1,0.199999999999999,1.7,4,5.2,7.2,8.3,9.6,10.6,12.1,13.2,14.3,NaN,NaN,NaN
NaN,-13.9,NaN,-11.5,-10.2,-9,-8.1,-7.1,-5,-3.7,-2.5,NaN,NaN,2.1,3.8,5.2,7.1,8.3,NaN,10.5,12,13.2,14.3,NaN,NaN,NaN
-16.2,-13.8,-12.6,-11.7,-10.6,-9,NaN,-7.2,-5,-3.6,-2.3,NaN,NaN,2.3,3.9,4.9,7.3,8.6,NaN,10.7,12.2,NaN,14.2,NaN,NaN,NaN
NaN,-14,NaN,-11.6,-10.4,-8.9,-7.9,-7.1,-5.1,NaN,-2.4,NaN,NaN,2.2,3.8,5.2,7.1,8.4,9.8,10.6,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-14.2,NaN,-11.4,-10,-8.9,-8.1,-7.1,-5,NaN,-2.6,NaN,0.199999999999999,2.2,3.8,5.1,7.1,8.2,9.7,NaN,12.1,13.4,14.4,NaN,NaN,NaN
NaN,-14.2,NaN,-11.9,-10.2,-9.3,-7.9,-7,-5.1,NaN,NaN,NaN,NaN,2,3.9,5,7,8.3,9.6,10.5,12,13.1,14.4,NaN,NaN,NaN
NaN,-13.9,-12.7,-11.7,-10.2,-8.9,NaN,-7.1,-5.1,NaN,-2.5,NaN,NaN,2,3.8,5.1,7.2,8.5,9.6,10.7,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-14.3,NaN,NaN,-10,-9,-8,-6.9,-4.9,-3.5,-2.1,-1.1,NaN,2,3.9,5.2,7.1,NaN,9.7,NaN,12.1,NaN,14.5,NaN,NaN,NaN
NaN,-13.8,NaN,-11.9,-10.2,-9.2,-8.1,-7.1,-5.2,-3.9,-2.6,-1.1,NaN,2,3.8,5,7.2,8.5,NaN,10.7,12,13.2,14.4,NaN,NaN,NaN
NaN,-13.7,NaN,-11.5,-10.2,-9,-8.4,-7,-5,-3.1,NaN,NaN,NaN,2.4,3.7,5.2,7.2,NaN,9.5,10.6,12.2,NaN,14.4,NaN,NaN,NaN
NaN,-13.8,NaN,-11.5,-10.1,-9,NaN,-7,-5,-3.2,-2.4,NaN,NaN,2.3,3.7,4.9,7.1,8.2,9.6,NaN,12,NaN,14.3,NaN,NaN,NaN
NaN,-14,NaN,-11.4,-10.2,-9.1,-8,-7,-5,-3.3,-2.2,-1.1,NaN,NaN,3.9,5.2,7,8.3,NaN,10.3,12,NaN,14.3,NaN,NaN,NaN
-16.3,-13.8,-12.5,-11.7,-10.5,-9,-8.1,-7.1,-4.8,NaN,-2.6,-1.2,0.199999999999999,2.3,3.6,4.9,7.2,NaN,NaN,10.6,12.2,NaN,14.5,NaN,NaN,NaN
NaN,-13.8,-12.6,-11.4,-10.3,-9,-8.1,-7.1,-5,NaN,-2.6,-1.1,0.0999999999999979,1.9,3.9,5.1,6.9,8.3,9.8,NaN,12,13.2,14.8,NaN,NaN,NaN
NaN,-14.3,-12.6,-11.9,-10.4,-8.9,-7.9,-7,-5.1,-3.4,-2.5,NaN,NaN,NaN,3.9,5.1,7.1,8.7,NaN,10.6,12,NaN,14.4,NaN,NaN,NaN
NaN,-13.8,-12.7,-11.7,NaN,-9,-8,-7.1,-5,-3.4,-2.6,NaN,0.0999999999999979,2,4.1,5.3,7,8.6,9.6,10.9,12.1,13.5,14.7,NaN,NaN,NaN
NaN,-13.7,NaN,-11.7,-10.3,-8.8,-8.2,-7.1,-5.1,NaN,-2.4,-1.2,0.0999999999999979,2.1,3.9,5.1,7.1,8.4,9.7,10.7,12.1,13.6,14.5,NaN,NaN,NaN
NaN,-14.1,NaN,-11.3,-10.3,-9.2,-8.2,-7.1,-5,NaN,-2.5,-1.2,NaN,2.4,3.8,5.2,7.2,8.6,9.8,NaN,12.1,13.1,14.8,NaN,NaN,NaN
NaN,-14,-12.5,-11.5,-10.2,-9.2,NaN,-7,-5.1,-3.1,-2.5,NaN,NaN,1.8,3.9,5.3,7.1,8.3,9.7,NaN,12.2,13.3,14.4,NaN,NaN,NaN
NaN,-13.9,NaN,-11.7,-10.3,-9,-8.1,-7,-5.1,-3.7,-2.1,NaN,NaN,NaN,3.9,5.2,7,8.4,NaN,10.3,12.1,13.3,14.7,NaN,NaN,NaN
NaN,-13.7,NaN,-11.6,-10.2,-9.2,NaN,-7,-5,NaN,-2.6,-1.2,0.199999999999999,2.4,4,5,7.2,8.3,9.6,NaN,12.1,NaN,14.2,NaN,NaN,NaN
NaN,-13.6,NaN,-11.4,-10.1,-9.4,NaN,-7,-5.2,-3.5,-2.5,-1.2,0.199999999999999,NaN,3.9,4.9,7.1,8.5,9.7,NaN,12.1,13.4,14.4,NaN,NaN,NaN
-16.2,-14.2,-12.5,-11.4,-10.2,-9.2,-8,-7,-5,-3.8,-2.5,NaN,NaN,2.3,4,5,7,8.3,9.8,NaN,12.1,13.2,14.6,NaN,NaN,NaN
NaN,-14.1,NaN,-11.4,-10.2,-9.1,-8,-7,-5,-3.5,-2.6,-1.1,0.199999999999999,1.9,3.8,5.1,7.2,8.5,9.5,NaN,12,13.4,NaN,NaN,NaN,NaN
NaN,-13.5,-12.6,NaN,-10.2,-9,-8.1,-7,-5.1,-3.4,-2.5,NaN,NaN,2.4,3.8,5.2,7.1,8.4,NaN,10.7,12.1,NaN,14.8,NaN,NaN,NaN
NaN,-14.1,NaN,-11.5,-10.2,-9,NaN,-7,-5,-3.5,-2.2,NaN,0.0999999999999979,1.9,4,5.1,7.2,8.4,9.6,NaN,12.1,NaN,14.4,NaN,NaN,NaN
NaN,-13.6,NaN,-11.8,-10.3,-9.1,-8,-7.1,-5.2,-3.4,-2.4,NaN,0.0999999999999979,2.4,4,5.1,7.2,8.6,9.6,10.6,12,13.1,14.2,NaN,NaN,NaN
NaN,-13.8,-12.4,-11.2,-10.3,-8.9,NaN,-7.1,-5.1,-3.7,NaN,-1.1,0.199999999999999,2.1,3.8,5,7.1,NaN,NaN,10.3,12.1,13,14.4,NaN,NaN,NaN
NaN,-13.9,NaN,-11.3,-10.3,-9,NaN,-7.1,-5.1,NaN,-2.4,NaN,NaN,1.9,3.8,5.2,7.1,8.4,NaN,10.8,12.1,13,14.8,NaN,NaN,NaN
NaN,NaN,NaN,-11.5,-10.4,-8.7,-8.1,-7.1,-5,NaN,NaN,-1.1,0.199999999999999,2.2,3.9,5.1,7.1,8.2,9.6,NaN,12.1,NaN,14.7,NaN,NaN,NaN
